Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec,Yaw_Angle,Left_Velocity_mps,Right_Velocity_mps,qx,qy,qz,qw,x,y,quaternion_yaw,Left_Velocity_LOS,Right_Velocity_LOS
2026-04-02 20:01:03.921,0,198,199,0.00,-0.0026,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.9924,1.0076
2026-04-02 20:01:13.921,0,200,200,0.00,-0.0052,0.0104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.9924,1.0076
2026-04-02 20:01:23.921,0,200,200,0.00,-0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.9924,1.0076
2026-04-02 20:01:33.920,0,200,200,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.9924,1.0076
2026-04-02 20:01:43.920,0,200,200,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.9924,1.0076
2026-04-02 20:01:53.920,0,197,200,0.00,-5.9847,5.9769,0.0000,0.0000,0.0000,0.0000,3.5086,0.3699,0.0000,-0.3008,0.2992
2026-04-02 20:02:03.920,0,198,200,0.00,-10.8803,10.7730,0.0000,0.0000,0.0000,0.0000,3.9870,3.5002,0.0000,-0.5490,0.5240
2026-04-02 20:02:13.921,0,198,200,0.00,-6.5659,6.9429,0.0000,0.0000,0.0000,0.0000,3.2232,8.2226,0.0000,-0.3145,0.3341
2026-04-02 20:02:23.921,0,198,200,0.00,0.0000,-0.0026,0.0000,0.0000,0.0000,0.0000,3.4297,6.8509,0.0000,-0.5968,0.6146
2026-04-02 20:02:33.920,0,199,200,0.00,-9.9457,9.6708,0.0000,0.0000,0.0000,0.0000,2.9305,9.3773,0.0000,-1.0028,0.9972
2026-04-02 20:02:43.920,0,200,200,0.00,-7.1811,4.7228,0.0000,0.0000,0.0000,0.0000,1.4714,14.7998,0.0000,-0.3631,0.2369
2026-04-02 20:02:53.920,0,200,200,0.00,-9.6840,11.6343,0.0000,0.0000,0.0000,0.0000,5.2052,18.3316,0.0000,-0.6241,0.6712
2026-04-02 20:03:03.920,0,174,200,0.00,-5.8774,5.9637,0.0000,0.0000,0.0000,0.0000,4.9089,22.3839,0.0000,-0.2983,0.3017
2026-04-02 20:03:13.920,0,199,200,0.00,-0.0026,0.0026,0.0000,0.0000,0.0000,0.0000,5.3289,22.8902,0.0000,-0.1354,0.4646
2026-04-02 20:03:23.920,0,199,200,0.00,0.0026,-0.0079,0.0000,0.0000,0.0000,0.0000,5.3289,22.8904,0.0000,-0.1357,0.4643
2026-04-02 20:03:33.920,0,143,200,0.00,11.3751,-10.4903,0.0000,0.0000,0.0000,0.0000,5.3727,24.8028,0.0000,-0.6606,0.4916
2026-04-02 20:03:43.920,0,199,200,0.00,11.3437,-1.5812,0.0000,0.0000,0.0000,0.0000,3.3693,29.8880,0.0000,-0.6085,0.6155
2026-04-02 20:03:53.920,0,200,200,0.00,11.2862,-11.2573,0.0000,0.0000,0.0000,0.0000,-1.8831,30.5191,0.0000,-0.6928,0.6522
2026-04-02 20:04:03.920,0,199,200,0.00,11.4328,-11.2390,0.0000,0.0000,0.0000,0.0000,-7.4177,30.8035,0.0000,-1.0188,0.9812
2026-04-02 20:04:13.920,0,199,200,0.00,11.4040,-8.5948,0.0000,0.0000,0.0000,0.0000,-8.3066,33.5283,0.0000,-0.1972,0.4028
2026-04-02 20:04:23.920,0,199,200,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.2997,35.9966,0.0000,-0.0720,0.5280
2026-04-02 20:04:33.921,0,200,200,0.00,-0.2146,-0.0079,0.0000,0.0000,0.0000,0.0000,-8.5909,36.1492,0.0000,-0.0821,0.5179
2026-04-02 20:04:43.920,0,200,200,0.00,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,-8.5825,36.1376,0.0000,-0.0767,0.5233
