Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec,Yaw_Angle,Left_Velocity_mps,Right_Velocity_mps,qx,qy,qz,qw,x,y,quaternion_yaw
2026-02-05 17:02:02.310,0,199,199,0.00,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-02-05 17:02:12.309,0,200,200,0.00,-0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-02-05 17:02:22.309,0,200,200,0.00,0.0000,-0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-02-05 17:02:32.309,0,200,200,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-02-05 17:02:42.309,0,199,200,0.00,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-02-05 17:02:52.309,0,198,200,0.00,-6.7518,6.8460,0.0000,0.0000,0.0000,0.0000,1.9268,0.1423,0.0000
2026-02-05 17:03:02.309,0,199,200,0.00,-6.0763,5.8329,0.0000,0.0000,0.0000,0.0000,4.9584,0.4946,0.0000
2026-02-05 17:03:12.311,0,199,200,0.00,-6.1680,6.1208,0.0000,0.0000,0.0000,0.0000,7.9433,0.7913,0.0000
2026-02-05 17:03:22.309,0,200,200,0.00,-8.1576,3.9663,0.0000,0.0000,0.0000,0.0000,10.9128,0.9944,0.0000
2026-02-05 17:03:32.309,0,198,200,0.00,-5.9585,6.2308,0.0000,0.0000,0.0000,0.0000,12.8118,-1.4047,0.0000
2026-02-05 17:03:42.309,0,196,200,0.00,-6.1915,5.6889,0.0000,0.0000,0.0000,0.0000,15.5106,-1.0080,0.0000
2026-02-05 17:03:52.309,0,200,200,0.00,-5.9821,5.7177,0.0000,0.0000,0.0000,0.0000,18.3276,0.0111,0.0000
2026-02-05 17:04:02.309,0,198,200,0.00,-6.2989,5.8119,0.0000,0.0000,0.0000,0.0000,21.0500,1.6777,0.0000
2026-02-05 17:04:12.309,0,199,200,0.00,-6.1706,5.9428,0.0000,0.0000,0.0000,0.0000,23.5246,3.3705,0.0000
2026-02-05 17:04:22.309,0,200,200,0.00,-6.3198,5.7098,0.0000,0.0000,0.0000,0.0000,22.8352,5.9536,0.0000
2026-02-05 17:04:32.310,0,200,200,0.00,-3.9139,7.7833,0.0000,0.0000,0.0000,0.0000,21.2241,8.2807,0.0000
2026-02-05 17:04:42.309,0,199,200,0.00,-7.4665,7.5320,0.0000,0.0000,0.0000,0.0000,20.6710,6.0514,0.0000
2026-02-05 17:04:52.309,0,198,200,0.00,-6.0685,6.0921,0.0000,0.0000,0.0000,0.0000,22.3389,3.5586,0.0000
2026-02-05 17:05:02.309,0,199,200,0.00,-7.3565,7.5555,0.0000,0.0000,0.0000,0.0000,22.2473,1.1267,0.0000
2026-02-05 17:05:12.310,0,186,200,0.00,-6.5528,6.7256,0.0000,0.0000,0.0000,0.0000,20.2741,-1.3281,0.0000
2026-02-05 17:05:22.309,0,200,200,0.00,-5.7962,5.8093,0.0000,0.0000,0.0000,0.0000,18.6106,-3.8429,0.0000
2026-02-05 17:05:32.309,0,200,200,0.00,-6.5371,5.5894,0.0000,0.0000,0.0000,0.0000,16.5934,-5.7926,0.0000
2026-02-05 17:05:42.309,0,199,200,0.00,-3.8196,8.1027,0.0000,0.0000,0.0000,0.0000,13.6290,-5.8737,0.0000
2026-02-05 17:05:52.310,0,197,200,0.00,-6.1287,6.0685,0.0000,0.0000,0.0000,0.0000,12.6236,-8.7675,0.0000
2026-02-05 17:06:02.309,0,197,200,0.00,-5.9323,6.0476,0.0000,0.0000,0.0000,0.0000,11.9510,-11.6865,0.0000
2026-02-05 17:06:12.309,0,197,200,0.00,-5.8119,6.2832,0.0000,0.0000,0.0000,0.0000,11.8018,-14.6774,0.0000
2026-02-05 17:06:22.309,0,200,200,0.00,-0.0026,0.0026,0.0000,0.0000,0.0000,0.0000,12.1585,-17.3783,0.0000
2026-02-05 17:06:32.310,0,200,200,0.00,0.0000,-0.0052,0.0000,0.0000,0.0000,0.0000,12.1585,-17.3783,0.0000
2026-02-05 17:06:42.309,0,200,200,0.00,0.0026,-0.0026,0.0000,0.0000,0.0000,0.0000,12.1585,-17.3783,0.0000
